Year,Age at death,Count,Total Live Births,Rate
2013,Neonatal,1641,494392,3.3
2013,PostNeonatal,707,494392,1.4
2012,Neonatal,1575,503788,3.1
2012,PostNeonatal,672,503788,1.3
2011,Neonatal,1692,502023,3.4
2011,PostNeonatal,705,502023,1.4
2010,Neonatal,1685,509979,3.3
2010,PostNeonatal,734,509979,1.4
2009,Neonatal,1755,526774,3.3
2009,PostNeonatal,838,526774,1.6
2008,Neonatal,1902,551567,3.4
2008,PostNeonatal,904,551567,1.6
2007,Neonatal,2007,566137,3.5
2007,PostNeonatal,934,566137,1.6
2006,Neonatal,1949,562157,3.5
2006,PostNeonatal,880,562157,1.6
2005,Neonatal,1977,548700,3.6
2005,PostNeonatal,936,548700,1.7
2004,Neonatal,1904,544685,3.5
2004,PostNeonatal,907,544685,1.7
